Ion Type (raw),Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity (raw),Conductivity σ (S/cm) [numeric],Temperature (°C),Activation Energy Ea (raw),Activation Energy Ea (eV)  [smart parsed],"Activation Energy Ea (candidates, eV)",Cycle Life (raw),Structure Family (Canonical)
Cu+ / In3+ / Sn4+ (mixed cation),Cu+,Spinel (cation-disordered),Rock-salt,–,CuInSnS4,– (reported as 'mixed superionic conduction'),,,–,,,–,Halide
Cu+ / In3+ / Sn4+ (mixed cation),In3+,Spinel (cation-disordered),Rock-salt,–,CuInSnS4,– (reported as 'mixed superionic conduction'),,,–,,,–,Halide
Cu+ / In3+ / Sn4+ (mixed cation),Sn4+(mixedcation),Spinel (cation-disordered),Rock-salt,–,CuInSnS4,– (reported as 'mixed superionic conduction'),,,–,,,–,Halide
Cu+ / In3+ (mixed cation),Cu+,Defect spinel,Rock-salt,–,CuIn11S17,– (reported as 'mixed superionic conduction'),,,–,,,–,Halide
Cu+ / In3+ (mixed cation),In3+(mixedcation),Defect spinel,Rock-salt,–,CuIn11S17,– (reported as 'mixed superionic conduction'),,,–,,,–,Halide
Li+,Li+,Inverse spinel halide (Fd3̅m),Halide,–,"Li2MgCl4 (LMC2, pristine)",9.6e-8 / 25,9.6e-08,,0.539,0.539,0.539,–,Halide
Li+,Li+,Inverse spinel halide (Fd3̅m),Halide,Zr4+ doping → cation disorder at 16c,Li1.25Zr0.375Mg0.625Cl4 (LZMC1.25),1.4e-5 / 25,1.4e-05,,0.476,0.476,0.476,–,Halide
Li+,Li+,Inverse spinel halide,Halide,Zn2+ doping → Li vacancies,Li1.6Zn0.2MgCl4,1.2e-5 / 25,1.2e-05,,–,,,–,Halide
Li+,Li+,Inverse spinel halide,Halide,Al3+ doping,Li1.2Mg0.95Al0.3Cl4,3.0e-4 / 25,0.0003,,–,,,–,Halide
Li+,Li+,Inverse spinel halide,Halide,Zr4+ doping,Li2Mg1/3Zr1/3Cl4,2.8e-5 / 25,2.8e-05,,–,,,–,Halide
Na+,Na+,Rock-salt halide,Halide,–,Na3InCl6,2.86 / 25,2.86,,0.26,0.26,0.26,–,Halide
Na+,Na+,Rock-salt halide,Halide,Partial In3+/Sc3+ substitution,Na3In0.667Sc0.333Cl6,8.50 / 25,8.5,,0.20,0.2,0.2,–,Halide
Na+,Na+,Rock-salt halide,Halide,In3+/Sc3+ mixed,Na3In0.5Sc0.5Cl6,0.68 / 25,0.68,,0.32,0.32,0.32,–,Halide
Na+,Na+,Rock-salt halide,Halide,In3+/Sc3+ mixed,Na3In0.333Sc0.667Cl6,3.50 / 25,3.5,,0.24,0.24,0.24,–,Halide
Na+,Na+,Rock-salt halide,Halide,Pure Sc3+,Na3ScCl6,2.36e-2 / 25,0.0236,,0.43,0.43,0.43,–,Halide
Na+,Na+,Spinel halide,Halide,–,Na2In0.666Cl4,0.22 / 25,0.22,,0.30,0.3,0.3,–,Halide
Na+,Na+,Spinel halide,Halide,In3+/Sc3+ mixed,Na2In0.4Sc0.2Cl4,2.25e-3 / 25,0.00225,,0.52,0.52,0.52,–,Halide
Na+,Na+,Spinel halide,Halide,In3+/Sc3+ mixed,Na2In0.2Sc0.4Cl4,7.10e-2 / 25,0.071,,0.38,0.38,0.38,–,Halide
Li+,Li+,Rock-salt halide,Halide,–,Li3AlCl6,158 / 25,158.0,,0.124,0.124,0.124,–,Halide
Li+,Li+,Rock-salt halide,Halide,–,Li3ScCl6,1.06 / 25,1.06,,0.29,0.29,0.29,–,Halide
Li+,Li+,Rock-salt halide,Halide,–,Li3SmCl6,– (unstable at high T),,,–,,,–,Halide
Li+,Li+,Rock-salt halide,Halide,–,Li3YCl6,– (~1 mS/cm from lit.),1.0,,–,,,–,Halide
Li+,Li+,Spinel halide,Halide,–,Li2Sm2/3Cl4,15.3 / 25,15.3,,0.194,0.194,0.194,–,Halide
Li+,Li+,Spinel halide,Halide,–,Li2Sc2/3Cl4,~1 / 25,1.0,,–,,,–,Halide
Li+,Li+,Spinel halide,Halide,–,Li2Y2/3Cl4,"Stable ≤1000 K, melts >1200 K",1000.0,,–,,,–,Halide
Li+,Li+,Spinel halide,Halide,–,Li2Al2/3Cl4,"– (linear MSD, high Li diffusion)",,,–,,,–,Halide
Li+,Li+,Monoclinic halide,Halide,–,LiScCl4,8.34 / 25,8.34,,0.24,0.24,0.24,–,Halide
Li+,Li+,Monoclinic halide,Halide,–,LiAlCl4,3.85 / 25,3.85,,0.27,0.27,0.27,–,Halide
Li+,Li+,Monoclinic halide,Halide,–,LiYCl4,–,,,–,,,–,Halide
Li+,Li+,Monoclinic halide,Halide,–,LiSmCl4,"– (stable, wide 0.69–4.36 V window)",0.69,,–,,,–,Halide
Li+,Li+,"Monoclinic (C2/m), defect rock-salt type in superionic phase",Rock-salt,–,Li3InBr6,4.0e-3 / 330 K,0.004,,0.31–0.23,0.31,0.31; -0.23,–,Halide
Li+,Li+,Defect spinel (Fd3̅m) above 315 K,Rock-salt,–,LiInBr4,Superionic phase above 315 K (σ rises steeply; no exact RT value given),315.0,,–,,,–,Halide
Li+,Li+,Over-stoichiometric rocksalt (o-DRX),Rock-salt,Li over-stoichiometry,Li17In9SnO24 (o-LISO),3.38e-4 / 25,0.000338,,0.255,0.255,0.255,–,Halide
Li+,Li+,Disordered rocksalt,Rock-salt,Li deficiency,ns-LISO (near-stoichiometric DRX),3.32e-8 / 25,3.32e-08,,0.552,0.552,0.552,–,Halide
Li+,Li+,Spinel,Rock-salt,–,LiTi2S4,1.03e-2 / 25,0.0103,,0.157,0.157,0.157,–,Halide
Li+,Li+,Spinel,Rock-salt,–,LiTb2S4,1.28e-2 / 25,0.0128,,0.151,0.151,0.151,–,Halide
Li+,Li+,Spinel,Rock-salt,Fe doping at Mn site,LiMn1.5Fe0.5S4,2.05e-2 / 25,0.0205,,0.135,0.135,0.135,–,Halide
Li+,Li+,Spinel,Rock-salt,Mo doping at Mn site,LiMn1.5Mo0.5O4,1.38e-2 / 25,0.0138,,0.146,0.146,0.146,–,Halide
Li+,Li+,Spinel,Rock-salt,V doping at Mn site,LiMn1.5V0.5S4,1.11e-2 / 25,0.0111,,0.153,0.153,0.153,–,Halide
Li+,Li+,Spinel,Rock-salt,Tb doping at Mn site,LiMn1.5Tb0.5S4,1.43e-2 / 25,0.0143,,0.149,0.149,0.149,–,Halide
Li+,Li+,Spinel,Rock-salt,Ru doping at Mn site,LiMn1.5Ru0.5S4,1.65e-2 / 25,0.0165,,0.142,0.142,0.142,–,Halide
Li+,Li+,Spinel,Rock-salt,Ta doping at Mn site,LiMn1.5Ta0.5O4,1.21e-2 / 25,0.0121,,0.154,0.154,0.154,–,Halide
Mg2+,Mg2+,Spinel,Rock-salt,–,MgYb2Se4,1.4e-4 / 25,0.00014,,0.364,0.364,0.364,–,Halide
Mg2+,Mg2+,Spinel,Rock-salt,"Multicationic substitution (Sc, Y, Er, Tm, Yb)",MgSc0.4Y0.4Er0.4Tm0.4Yb0.4Se4,2.4–5.5e-5 / 25,2.4,,0.38–0.40,0.38,0.38; -0.4,–,Halide
Mg2+,Mg2+,Spinel,Rock-salt,Anion substitution (Se → Br),Mg0.75Sc2Se3.5Br0.5,2.4–5.5e-5 / 25,2.4,,0.38–0.40,0.38,0.38; -0.4,–,Halide
Na+,Na+,Tetragonal (glass–ceramic),Glassy sulfide,–,"Na3PS4 (x=0, glass–ceramic)",2.0e-4 / 25,0.0002,,0.41,0.41,0.41,–,Sulfide
Na+,Na+,Tetragonal (glass–ceramic),Glassy sulfide,Ca3N2 doping (5 mol%),"95Na3PS4–5Ca3N2 (x=5, glass–ceramic)",5.0e-4 / 25,0.0005,,0.43,0.43,0.43,–,Sulfide
Na+,Na+,Tetragonal (glass–ceramic),Glassy sulfide,Ca3N2 doping (8 mol%),"92Na3PS4–8Ca3N2 (x=8, glass–ceramic)",8.14e-4 / 25,0.000814,,0.33,0.33,0.33,–,Sulfide
Na+,Na+,Tetragonal (glass–ceramic),Glassy sulfide,Ca3N2 doping (10 mol%),"90Na3PS4–10Ca3N2 (x=10, glass–ceramic)",6.0e-4 / 25,0.0006,,0.35,0.35,0.35,–,Sulfide
Li+,Li+,"Trigonal (hcp, ~46% amorphous)",Other,–,Li2ZrCl6,1.0e-4 / 25,0.0001,,0.118,0.118,0.118,–,Other / Novel
Li+,Li+,Oxyhalide (~69% amorphous),Halide,Partial Cl → O substitution (33.3%),Li2ZrCl4O,2.0e-4 / 25,0.0002,,–,,,–,Halide
Li+,Li+,Highly amorphous oxyhalide (~89.5%),Halide,Partial Cl → O substitution (42.9%),Li3ZrCl4O1.5,1.35e-3 / 25,0.00135,,0.294,0.294,0.294,–,Halide
Li+,Li+,Amorphous oxyhalide,Halide,Higher O substitution,Li4ZrCl4O2,Lower than Li3ZrCl4O1.5,3.0,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 7),7.17e-3 / 25,0.00717,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 8),8.30e-3 / 25,0.0083,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 5),6.94e-3 / 25,0.00694,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 6),5.63e-3 / 25,0.00563,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 4),3.54e-3 / 25,0.00354,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 9),6.3e-5 / 25,6.3e-05,,–,,,–,Halide
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 1),1.9e-4 / 25,0.00019,,–,,,–,Halide
Li+,Li+,Amorphous LPS,Other,–,r-PS4 (amorphous),1.29e-2 (ρ=1.8 g/cm³); 3.81e-3 (ρ=2.0 g/cm³),0.0129,,0.236–0.265,0.236,0.236; -0.265,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,1P2S7 (amorphous),6.95e-3 (ρ=1.8 g/cm³); 4.32e-4 (ρ=2.0 g/cm³),0.00695,,0.260–0.353,0.26,0.26; -0.353,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,1P2S6 (amorphous),4.04e-2 (ρ=1.8 g/cm³); 2.36e-3 (ρ=2.0 g/cm³),0.0404,,0.185–0.289,0.185,0.185; -0.289,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,2P2S7 (amorphous),2.68e-3; 2.64e-3,0.00268,,0.304–0.286,0.304,0.304; -0.286,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,1P2S7–1S,4.24e-3; 1.11e-4,0.00424,,0.287–0.411,0.287,0.287; -0.411,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,1P2S6–2S,1.77e-2; 7.72e-4,0.0177,,0.223–0.327,0.223,0.223; -0.327,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,2P2S7–2S,9.91e-3; 5.68e-3,0.00991,,0.249–0.254,0.249,0.249; -0.254,–,Other / Novel
Li+,Li+,Amorphous LPS,Other,–,2P2S6–4S,1.14e-3; 1.01e-3,0.00114,,0.343–0.321,0.343,0.343; -0.321,–,Other / Novel
Li+,Li+,β-phase,Other,–,β-Li3PS4 (crystalline),2.31e-3,0.00231,,0.301,0.301,0.301,–,Other / Novel
Li+,Li+,α-phase,Other,–,α-Li3PS4 (crystalline),1.49e-2,0.0149,,0.235,0.235,0.235,–,Other / Novel
Li+,Li+,Glass-ceramic,Glassy sulfide,–,Li7P3S11 (crystalline),6.35e-2,0.0635,,0.174,0.174,0.174,–,Sulfide
Na+,Na+,γ-phase (superionic),Other,–,γ–Na3PS4,2.54e-2 / 27,0.0254,,0.18,0.18,0.18,–,Other / Novel
Na+,Na+,Cubic,Other,–,c–Na3PS4,5.7e-4 / 27,0.00057,,–,,,–,Other / Novel
Na+,Na+,Tetragonal,Other,–,t–Na3PS4,1.3e-6 / 27,1.3e-06,,–,,,–,Other / Novel
Na+,Na+,Amorphous (S1),Sulfide,–,Na3PS4 (S1 amorphous),–,,,0.17,0.17,0.17,–,Sulfide
Na+,Na+,Amorphous (S2),Sulfide,–,Na3PS4 (S2 amorphous),–,,,0.24,0.24,0.24,–,Sulfide
Na+,Na+,Amorphous (S3),Sulfide,–,Na3PS4 (S3 amorphous),–,,,0.88,0.88,0.88,–,Sulfide
Na+,Na+,Amorphous (S4),Sulfide,–,Na3PS4 (S4 amorphous),–,,,0.47,0.47,0.47,–,Sulfide
Ag+,Ag+,Amorphous SIC,Other,–,50AgI–37.5Ag2O–12.5B2O3 (SISOBO),5.0e-3 / 25,0.005,,–,,,–,Other / Novel
Ag+,Ag+,Amorphous SIC,Other,–,50AgI–25Ag2O–25CrO3 (SISOCO),7.0e-3 / 25,0.007,,–,,,–,Other / Novel
Ag+,Ag+,Amorphous SIC,Other,–,50AgI–33.5Ag2O–16.5V2O5 (SISOVO),3.0e-3 / 25,0.003,,–,,,–,Other / Novel
Ag+,Ag+,Amorphous SIC,Other,–,50AgI–25Ag2O–25CrO3 (50SISOCO),7.0e-3 / 27,0.007,,0.21–0.27,0.21,0.21; -0.27,–,Other / Novel
Ag+,Ag+,Amorphous SIC,Other,–,60AgI–20Ag2O–20CrO3 (60SISOCO),1.0e-2 / 27,0.01,,0.27,0.27,0.27,–,Other / Novel
Ag+,Ag+,Partially amorphous SIC,Other,–,70AgI–15Ag2O–15CrO3 (70SISOCO),"1.1e-2 / 27 (best, 66 h)",0.011,,0.27,0.27,0.27,–,Other / Novel
Li+,Li+,Amorphous glass,Glassy sulfide,–,Li3PS4 (x=0),3.4e-4 / 25; 1.17e-2 / 100,0.00034,,0.307,0.307,0.307,–,Sulfide
Li+,Li+,Amorphous glass,Glassy sulfide,Br doping,Li3PS3.5Br0.5 (x=0.5),1.0e-3 / 25,0.001,,0.291,0.291,0.291,–,Sulfide
Li+,Li+,Amorphous glass,Glassy sulfide,Br doping,Li3PS3Br (x=1.0),1.86e-3 / 25; 1.17e-2 / 100,0.00186,,0.277,0.277,0.277,–,Sulfide
Li+,Li+,Partially crystalline,Other,Excess Br doping,Li3PS2.5Br1.5 (x=1.5),7.0e-4 / 25,0.0007,,0.288,0.288,0.288,–,Other / Novel
Na+,Na+,Sulfide (crystalline),Sulfide,–,Na3PS4,7.5e-5 / 25,7.5e-05,,0.39,0.39,0.39,–,Sulfide
Na+,Na+,Amorphous oxysulfide,Other,Na2SO3 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO3,1.2e-5 / 25,1.2e-05,,0.51,0.51,0.51,–,Other / Novel
Na+,Na+,Amorphous oxysulfide,Other,Na2SO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO4,1.6e-5 / 25,1.6e-05,,0.50,0.5,0.5,–,Other / Novel
Na+,Na+,Amorphous oxysulfide,Other,Na3PO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na3PO4,1.1e-5 / 25,1.1e-05,,0.50,0.5,0.5,–,Other / Novel
Na+,Na+,Amorphous halide,Halide,–,NaTaCl6 (amorphous),4.0e-3 / 25,0.004,,0.30–0.41,0.3,0.3; -0.41,–,Halide
Na+,Na+,Trigonal (HNISE),Other,–,Na2ZrCl6,1.3e-5 / 25,1.3e-05,,0.50,0.5,0.5,–,Other / Novel
Na+,Na+,Trigonal (deficient),Other,Na/Cl-deficient (vacancy engineering),Na0.5ZrCl4.5,8.1e-5 / 25,8.1e-05,,0.35,0.35,0.35,–,Other / Novel
Na+,Na+,Amorphous halide,Halide,F substitution,Na0.5ZrCl4F0.5,1.12e-4 / 25,0.000112,,–,,,–,Halide
Na+,Na+,Trigonal,Other,Na/Cl-deficient,Na0.6Er0.4Zr0.6Cl4.2,5.7e-5 / 25,5.7e-05,,–,,,–,Other / Novel
Na+,Na+,Trigonal,Other,Na/Cl-deficient,Na0.4Yb0.25Zr0.75Cl4.15,2.0e-4 / 25,0.0002,,–,,,–,Other / Novel
Na+,Na+,–,Other,Yb substitution,Na2.25Yb0.25Zr0.75Cl6,–,,,–,,,–,Other / Novel
Na+,Na+,Crystalline halide,Halide,–,Na2ZrCl6 (NZC),1.3e-5 / 25,1.3e-05,,0.50,0.5,0.5,–,Halide
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,"0.5-NFZC (NaF–ZrCl4, x=0.5)",–,,,–,,,–,Halide
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,1.0-NFZC (x=1.0),–,,,–,,,–,Halide
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,2.0-NFZC (x=2.0),2.35e-4 / 25,0.000235,,0.28,0.28,0.28,–,Halide
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,3.0-NFZC (x=3.0),–,,,–,,,–,Halide
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.50Na2O,8.0e-5 / 30,8e-05,,–,,,–,Halide
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.60Na2O,1.2e-4 / 30,0.00012,,–,,,–,Halide
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.75Na2O,1.7e-4 / 30,0.00017,,–,,,–,Halide
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.80Na2O,1.0e-4 / 30,0.0001,,–,,,–,Halide
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.85Na2O,6.0e-5 / 30,6e-05,,–,,,–,Halide
Na+,Na+,Halide (amorphous / nanocrystalline),Halide,NaCl deficiency tuning (vacancy mediated),Na2.25-xY0.25Zr0.75Cl6-x (x=1.375–2.000),1.2e-4 – 4.03e-4 / 25,0.00012,,0.348 – 0.370,0.348,0.348; 0.37,–,Halide
Rb+,Rb+,Amorphous borate glass,Glassy sulfide,–,(Rb2O)10(B2O3)90,1e-6 / 25,1e-06,,–,,,–,Sulfide
Rb+,Rb+,Amorphous borate glass,Glassy sulfide,–,(Rb2O)15(B2O3)85,1e-5 / 25,1e-05,,–,,,–,Sulfide
Rb+,Rb+,Amorphous borate glass,Glassy sulfide,–,(Rb2O)20(B2O3)80,1e-4 / 25,0.0001,,–,,,–,Sulfide
Rb+,Rb+,Amorphous borate glass,Glassy sulfide,–,(Rb2O)30(B2O3)70,2.0e-3 / 300,0.002,,0.93–0.97,0.93,0.93; -0.97,–,Sulfide
O2-,O2-,Core–shell nanocomposite (SDC + amorphous carbonate),Polymer composite,Sm3+ doping in CeO2 + amorphous Na2CO3 shell,"Ce0.8Sm0.2O1.9/Na2CO3 (20 wt% Na2CO3, core–shell)",>0.1 / >300,0.1,,0.3,0.3,0.3,–,Polymer composite
Na+,Na+,Amorphous,Other,–,Na3PS4 (amorphous),4.1e-6 / 25,4.1e-06,,–,,,–,Other / Novel
Na+,Na+,Cubic (I4̅3m),Halide,–,"Na3PS4 (cubic, annealed 240 °C)",1.3e-4 / 25,0.00013,,–,,,–,Halide
Na+,Na+,Tetragonal (P421c),Other,–,"Na3PS4 (tetragonal, annealed 480 °C)",1.9e-5 / 25,1.9e-05,,–,,,–,Other / Novel
Li+,Li+,Bicontinuous polymer nanostructure,Polymer composite,–,PVDF-g-PAN + 34 wt% LiTFSI,5.8e-4 / 30,0.00058,,0.21,0.21,0.21,–,Polymer composite
Li+,Li+,Bicontinuous polymer nanostructure,Polymer composite,–,PVDF-g-PAN + 34 wt% LiTFSI,5.8e-4 / 30,0.00058,,0.21,0.21,0.21,–,Polymer composite
Li+,Li+,3D porous polymer + ether network,Polymer composite,"Sulfonation of PVDF-HFP, ether polymer network infiltration",SICP-EPN (sulfonated PVDF-HFP + in situ polymerized PEGMEA + LiFSI/LiTFSI/LiNO3),3.8e-4 / 30,0.00038,,–,,,–,Polymer composite
H+,H+,Amorphous polymer,Polymer composite,–,Disulfonic acid polymer (–SO3H rich),1e-2 – 1e-1 / 25 (humid),0.01,,–,,,–,Polymer composite
H+,H+,Polymer electrolyte (amorphous),Polymer composite,–,PVA–Iron Alum (uncrosslinked),1e-6 / 30,1e-06,,–,,,–,Polymer composite
H+,H+,Polymer electrolyte (cross-linked),Polymer composite,Glycerol,PVA–Iron Alum + Glycerol,1e-5 / 30; 1.2e-3 / 100,1e-05,,–,,,–,Polymer composite
H+,H+,Polymer electrolyte (cross-linked),Polymer composite,Succinic acid,PVA–Iron Alum + Succinic Acid,3e-5 / 30; 1.8e-3 / 100,3e-05,,–,,,–,Polymer composite
H+,H+,Polymer electrolyte (cross-linked),Polymer composite,Glyoxal,PVA–Iron Alum + Glyoxal,5e-5 / 30; 2.38e-3 / 100,5e-05,,–,,,–,Polymer composite
Li+,Li+,Polymer (PVDF),Polymer composite,–,PVDF (control),7.6e-5 / -5,7.6e-05,,–,,,"~1430 h (Li|Li, 0.1 mA·cm⁻², 25 °C)",Polymer composite
Li+,Li+,Polymer (PVDF),Polymer composite,Molecular doping with PVDC (low) + SN + LiTFSI,md-PVDF-LD (10 wt% PVDC:90 wt% PVDF),~order higher than PVDF / 30,30.0,,–,,,–,Polymer composite
Li+,Li+,Polymer (PVDF),Polymer composite,Molecular doping with PVDC (moderate) + SN + LiTFSI,md-PVDF (2:8 PVDC:PVDF),1.4e-3 / 25; 3.0e-4 / -5; 4.1e-3 / 80,0.0014,,0.25,0.25,0.25,">2000 h (Li|Li, 0.1 mA·cm⁻², 25 °C)",Polymer composite
Li+,Li+,Polymer (PVDF),Polymer composite,Molecular doping with PVDC (high) + SN + LiTFSI,md-PVDF-HD (3:7 PVDC:PVDF),2.0e-3 / 30,0.002,,–,,,–,Polymer composite
Na+,Na+,Natural polymer (lignin-based),Polymer composite,–,LG-SPE (lignin-based polymer + Na salt),3.4e-4 / 25,0.00034,,–,,,–,Polymer composite
Na+,Na+,Gel polymer electrolyte (quasi-solid),Polymer composite,SN plasticizer + EMIMBF4 + NaBF4 salt,P(VdF-HFP) + SN + EMIMBF4 + NaBF4,8.72e-3 / 30,0.00872,,–,,,–,Polymer composite
Na+,Na+,Polymer (PEO),Polymer composite,–,PEO (SPE),5.5e-6 / 25,5.5e-06,,–,,,–,Polymer composite
Na+,Na+,Ceramic (NaSICON),NASICON,–,Na3Zr2Si2.3P0.7O11.85 (NaSICON),1.7e-3 / 25,0.0017,,–,,,–,NASICON
Na+,Na+,Ceramic (NaSICON),NASICON,–,Na3.4Zr2Si2.4P0.6O12 (NaSICON),3.4e-3 / 25,0.0034,,–,,,–,NASICON
Na+,Na+,Composite polymer–ceramic (CSE),Polymer composite,–,PEO (50 wt%) / Na3Zr2Si2.3P0.7O11.85 (50 wt%),1.13e-5 / 25,1.13e-05,,–,,,–,Polymer composite
Na+,Na+,Composite polymer–ceramic (CSE),Polymer composite,–,PEO (50 wt%) / Na3.4Zr2Si2.4P0.6O12 (50 wt%),6.4e-6 / 25,6.4e-06,,–,,,–,Polymer composite
Li+,Li+,Polymer electrolyte (PEO-based),Polymer composite,–,"Polymer electrolyte (control, no filler)",1e-6 – 1e-5 / RT,1e-06,,–,,,–,Polymer composite
Li+,Li+,Polymer–ceramic composite,Polymer composite,LMTO nanorods (passive filler),Polymer + LMTO nanorods (composite),1e-5 – 1e-4 / RT,1e-05,,–,,,–,Polymer composite
Li+,Li+,Ceramic oxide (LMTO),Oxide,–,LMTO ceramic (filler alone),negligible / RT,,,–,,,–,Other / Novel
H+,H+,Supramolecular polymer electrolyte,Polymer composite,Deep eutectic solvent (DES) based on glycosyl-zwitterion with POM nanoclusters,"SPPC (Supramolecular Polymer Proton Conductor, DES-GZ/POM)",1.07 / 25,1.07,,0.12,0.12,0.12,–,Polymer composite
Li+,Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),2.04e-3 / 25,0.00204,,0.35,0.35,0.35,–,Halide
Li+,Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),2.04e-3 / 25,0.00204,,0.35,0.35,0.35,–,Halide
Li+,Li+,Halide (hcp-T),Halide,–,Li3HoCl6,4.2e-4 / 25,0.00042,,0.39,0.39,0.39,–,Halide
Li+,Li+,Halide (hcp-T),Halide,In3+ partial substitution,Li3Ho0.6In0.4Cl6,1.3e-3 / 25,0.0013,,0.28,0.28,0.28,–,Halide
Li+,Li+,Halide (hcp-T),Halide,–,Li3YCl6,1.7e-3 / 25,0.0017,,0.33,0.33,0.33,–,Halide
Li+,Li+,Halide (hcp-O),Halide,–,Li3YBr6,2.4e-3 / 25,0.0024,,0.31,0.31,0.31,–,Halide
Li+,Li+,Halide (hcp-O/hcp-T mixed),Halide,Br- partial substitution,Li3YCl6-xBrx (x=1.5),3.1e-3 / 25,0.0031,,0.29,0.29,0.29,–,Halide
Li+,Li+,"Halide, UCl3-type (non-close-packed)",Halide,–,Li-UCl3 (LiCl–LaCl3–0.5TaCl5),2.39e-3 / 25,0.00239,,0.15,0.15,0.15,–,Halide
Na+,Na+,"Halide, UCl3-type (non-close-packed)",Halide,–,Na-UCl3 (NaCl–LaCl3–0.5TaCl5),3.63e-3 / 25,0.00363,,0.17,0.17,0.17,–,Halide
K+,K+,"Halide, UCl3-type (non-close-packed)",Halide,–,K-UCl3 (KCl–LaCl3–0.5TaCl5),1.20e-4 / 25,0.00012,,0.41,0.41,0.41,–,Halide
Ag+,Ag+,"Halide, UCl3-type (non-close-packed)",Halide,–,Ag-UCl3 (AgCl–LaCl3–0.5TaCl5),4.20e-3 / 25,0.0042,,0.11,0.11,0.11,–,Halide
Li+,Li+,"Halide, non-close-packed",Halide,–,LiGaCl3 (predicted),3.39e-3 / 25 (AIMD),0.00339,,0.25 (AIMD),0.25,0.25,–,Halide
Li+,Li+,"Halide, trigonal (P3̅m1)",Halide,–,Li3YCl6,2.0e-4 / 25,0.0002,,0.38,0.38,0.38,–,Halide
Li+,Li+,"Halide, trigonal (cation-disordered)",Halide,Partial substitution of Y3+ with Zr4+,Li3Y0.2Zr0.6Cl6,1.19e-3 / 25,0.00119,,0.29,0.29,0.29,–,Halide
Li+,Li+,"Halide, trigonal",Halide,–,Li3ErCl6,3.5e-4 / 25,0.00035,,0.36,0.36,0.36,–,Halide
Li+,Li+,Halide (hcp),Halide,–,Li3YCl6 (mechanochemical),1.8e-3 / 25,0.0018,,0.33,0.33,0.33,–,Halide
Li+,Li+,Halide (hcp),Halide,–,Li3YCl6 (solid-state synthesis),6.5e-4 / 25,0.00065,,0.40,0.4,0.4,–,Halide
Li+,Li+,Halide (hcp),Halide,Partial substitution Y3+→Zr4+,Li3Y0.2Zr0.6Cl6,1.2e-3 / 25,0.0012,,0.29,0.29,0.29,–,Halide
Li+,Li+,Halide (hcp),Halide,–,Li3InCl6,2.0e-3 / 25,0.002,,0.35,0.35,0.35,–,Halide
Li+,Li+,Halide (hcp),Halide,–,Li3ScCl6,3.4e-3 / 25,0.0034,,0.28,0.28,0.28,–,Halide
Na+,Na+,"Halide, heterogeneous (UCl3-type + amorphous domains)",Halide,Interface engineering / dual-phase composite,HSE-Na (Halide Heterogeneous Structure Electrolyte – Na+),2.7e-3 / 25,0.0027,,0.23,0.23,0.23,–,Halide
Li+,Li+,"Halide, trigonal",Halide,–,Li3YbCl6,3.8e-4 / 25,0.00038,,0.36,0.36,0.36,–,Halide
Li+,Li+,"Halide, trigonal (partially disordered)",Halide,Partial substitution Yb3+→Zr4+,Li2.8Yb0.8Zr0.2Cl6,9.5e-4 / 25,0.00095,,0.29,0.29,0.29,–,Halide
