Ion Type (raw),Ion Type,Structure Type (raw),Structure Group,Doping / and or GB Strategy,Superionic Conductor Formula (Chemical),Conductivity σ (S/cm) (raw),Conductivity σ (S/cm),Activation Energy Ea (eV) (raw),Activation Energy Ea (eV),Temperature (°C)
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 5),6.94e-3 / 25,0.00694,–,,
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 6),5.63e-3 / 25,0.00563,–,,
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 4),3.54e-3 / 25,0.00354,–,,
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 9),6.3e-5 / 25,6.3e-05,–,,
Li+,Li+,Amorphous oxychloride,Halide,–,1.6Li2O–TaCl5 (Sample 1),1.9e-4 / 25,0.00019,–,,
Li+,Li+,Amorphous LPS,Amorphous,–,r-PS4 (amorphous),1.29e-2 (ρ=1.8 g/cm³); 3.81e-3 (ρ=2.0 g/cm³),0.0129,0.236–0.265,0.236,
Li+,Li+,Amorphous LPS,Amorphous,–,1P2S7 (amorphous),6.95e-3 (ρ=1.8 g/cm³); 4.32e-4 (ρ=2.0 g/cm³),0.00695,0.260–0.353,0.26,
Li+,Li+,Amorphous LPS,Amorphous,–,1P2S6 (amorphous),4.04e-2 (ρ=1.8 g/cm³); 2.36e-3 (ρ=2.0 g/cm³),0.0404,0.185–0.289,0.185,
Li+,Li+,Amorphous LPS,Amorphous,–,2P2S7 (amorphous),2.68e-3; 2.64e-3,0.00268,0.304–0.286,0.304,
Li+,Li+,Amorphous LPS,Amorphous,–,1P2S7–1S,4.24e-3; 1.11e-4,0.00424,0.287–0.411,0.287,
Li+,Li+,Amorphous LPS,Amorphous,–,1P2S6–2S,1.77e-2; 7.72e-4,0.0177,0.223–0.327,0.223,
Li+,Li+,Amorphous LPS,Amorphous,–,2P2S7–2S,9.91e-3; 5.68e-3,0.00991,0.249–0.254,0.249,
Li+,Li+,Amorphous LPS,Amorphous,–,2P2S6–4S,1.14e-3; 1.01e-3,0.00114,0.343–0.321,0.343,
Li+,Li+,β-phase,Other,–,β-Li3PS4 (crystalline),2.31e-3,0.00231,0.301,0.301,
Li+,Li+,α-phase,Other,–,α-Li3PS4 (crystalline),1.49e-2,0.0149,0.235,0.235,
Li+,Li+,Glass-ceramic,Amorphous,–,Li7P3S11 (crystalline),6.35e-2,0.0635,0.174,0.174,
Na+,Na+,γ-phase (superionic),Other,–,γ–Na3PS4,2.54e-2 / 27,0.0254,0.18,0.18,
Na+,Na+,Cubic,Other,–,c–Na3PS4,5.7e-4 / 27,0.00057,–,,
Na+,Na+,Tetragonal,Other,–,t–Na3PS4,1.3e-6 / 27,1.3e-06,–,,
Na+,Na+,Amorphous (S1),Amorphous,–,Na3PS4 (S1 amorphous),–,,0.17,0.17,
Na+,Na+,Amorphous (S2),Amorphous,–,Na3PS4 (S2 amorphous),–,,0.24,0.24,
Na+,Na+,Amorphous (S3),Amorphous,–,Na3PS4 (S3 amorphous),–,,0.88,0.88,
Na+,Na+,Amorphous (S4),Amorphous,–,Na3PS4 (S4 amorphous),–,,0.47,0.47,
Ag+,Ag+,Amorphous SIC,Amorphous,–,50AgI–37.5Ag2O–12.5B2O3 (SISOBO),5.0e-3 / 25,0.005,–,,
Ag+,Ag+,Amorphous SIC,Amorphous,–,50AgI–25Ag2O–25CrO3 (SISOCO),7.0e-3 / 25,0.007,–,,
Ag+,Ag+,Amorphous SIC,Amorphous,–,50AgI–33.5Ag2O–16.5V2O5 (SISOVO),3.0e-3 / 25,0.003,–,,
Ag+,Ag+,Amorphous SIC,Amorphous,–,50AgI–25Ag2O–25CrO3 (50SISOCO),7.0e-3 / 27,0.007,0.21–0.27,0.21,
Ag+,Ag+,Amorphous SIC,Amorphous,–,60AgI–20Ag2O–20CrO3 (60SISOCO),1.0e-2 / 27,0.01,0.27,0.27,
Ag+,Ag+,Partially amorphous SIC,Amorphous,–,70AgI–15Ag2O–15CrO3 (70SISOCO),"1.1e-2 / 27 (best, 66 h)",0.011,0.27,0.27,
Li+,Li+,Amorphous glass,Amorphous,–,Li3PS4 (x=0),3.4e-4 / 25; 1.17e-2 / 100,0.00034,0.307,0.307,
Li+,Li+,Amorphous glass,Amorphous,Br doping,Li3PS3.5Br0.5 (x=0.5),1.0e-3 / 25,0.001,0.291,0.291,
Li+,Li+,Amorphous glass,Amorphous,Br doping,Li3PS3Br (x=1.0),1.86e-3 / 25; 1.17e-2 / 100,0.00186,0.277,0.277,
Li+,Li+,Partially crystalline,Other,Excess Br doping,Li3PS2.5Br1.5 (x=1.5),7.0e-4 / 25,0.0007,0.288,0.288,
Na+,Na+,Sulfide (crystalline),Other,–,Na3PS4,7.5e-5 / 25,7.5e-05,0.39,0.39,
Na+,Na+,Amorphous oxysulfide,Amorphous,Na2SO3 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO3,1.2e-5 / 25,1.2e-05,0.51,0.51,
Na+,Na+,Amorphous oxysulfide,Amorphous,Na2SO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO4,1.6e-5 / 25,1.6e-05,0.50,0.5,
Na+,Na+,Amorphous oxysulfide,Amorphous,Na3PO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na3PO4,1.1e-5 / 25,1.1e-05,0.50,0.5,
Na+,Na+,Amorphous halide,Halide,–,NaTaCl6 (amorphous),4.0e-3 / 25,0.004,0.30–0.41,0.3,
Na+,Na+,Trigonal (HNISE),Other,–,Na2ZrCl6,1.3e-5 / 25,1.3e-05,0.50,0.5,
Na+,Na+,Trigonal (deficient),Other,Na/Cl-deficient (vacancy engineering),Na0.5ZrCl4.5,8.1e-5 / 25,8.1e-05,0.35,0.35,
Na+,Na+,Amorphous halide,Halide,F substitution,Na0.5ZrCl4F0.5,1.12e-4 / 25,0.000112,–,,
Na+,Na+,Trigonal,Other,Na/Cl-deficient,Na0.6Er0.4Zr0.6Cl4.2,5.7e-5 / 25,5.7e-05,–,,
Na+,Na+,Trigonal,Other,Na/Cl-deficient,Na0.4Yb0.25Zr0.75Cl4.15,2.0e-4 / 25,0.0002,–,,
Na+,Na+,–,Other,Yb substitution,Na2.25Yb0.25Zr0.75Cl6,–,,–,,
Na+,Na+,Crystalline halide,Halide,–,Na2ZrCl6 (NZC),1.3e-5 / 25,1.3e-05,0.50,0.5,
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,"0.5-NFZC (NaF–ZrCl4, x=0.5)",–,,–,,
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,1.0-NFZC (x=1.0),–,,–,,
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,2.0-NFZC (x=2.0),2.35e-4 / 25,0.000235,0.28,0.28,
Na+,Na+,Amorphous–nanocrystalline halide,Halide,F substitution,3.0-NFZC (x=3.0),–,,–,,
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.50Na2O,8.0e-5 / 30,8e-05,–,,
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.60Na2O,1.2e-4 / 30,0.00012,–,,
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.75Na2O,1.7e-4 / 30,0.00017,–,,
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.80Na2O,1.0e-4 / 30,0.0001,–,,
Na+,Na+,Amorphous chloride–oxide,Halide,Na2O incorporation,AlCl3–0.85Na2O,6.0e-5 / 30,6e-05,–,,
Na+,Na+,Halide (amorphous / nanocrystalline),Halide,NaCl deficiency tuning (vacancy mediated),Na2.25-xY0.25Zr0.75Cl6-x (x=1.375–2.000),1.2e-4 – 4.03e-4 / 25,0.00012,0.348 – 0.370,0.348,
Rb+,Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)10(B2O3)90,1e-6 / 25,1e-06,–,,
Rb+,Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)15(B2O3)85,1e-5 / 25,1e-05,–,,
Rb+,Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)20(B2O3)80,1e-4 / 25,0.0001,–,,
Rb+,Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)30(B2O3)70,2.0e-3 / 300,0.002,0.93–0.97,0.93,
O2-,O2-,Core–shell nanocomposite (SDC + amorphous carbonate),Amorphous,Sm3+ doping in CeO2 + amorphous Na2CO3 shell,"Ce0.8Sm0.2O1.9/Na2CO3 (20 wt% Na2CO3, core–shell)",>0.1 / >300,0.1,0.3,0.3,
Na+,Na+,Amorphous,Amorphous,–,Na3PS4 (amorphous),4.1e-6 / 25,4.1e-06,–,,
Na+,Na+,Cubic (I4̅3m),Other,–,"Na3PS4 (cubic, annealed 240 °C)",1.3e-4 / 25,0.00013,–,,
Na+,Na+,Tetragonal (P421c),Other,–,"Na3PS4 (tetragonal, annealed 480 °C)",1.9e-5 / 25,1.9e-05,–,,
Li+,Li+,Bicontinuous polymer nanostructure,Polymeric,–,PVDF-g-PAN + 34 wt% LiTFSI,5.8e-4 / 30,0.00058,0.21,0.21,
Li+,Li+,Bicontinuous polymer nanostructure,Polymeric,–,PVDF-g-PAN + 34 wt% LiTFSI,5.8e-4 / 30,0.00058,0.21,0.21,
Li+,Li+,3D porous polymer + ether network,Polymeric,"Sulfonation of PVDF-HFP, ether polymer network infiltration",SICP-EPN (sulfonated PVDF-HFP + in situ polymerized PEGMEA + LiFSI/LiTFSI/LiNO3),3.8e-4 / 30,0.00038,–,,
H+,H+,Amorphous polymer,Polymeric,–,Disulfonic acid polymer (–SO3H rich),1e-2 – 1e-1 / 25 (humid),0.01,–,,
H+,H+,Polymer electrolyte (amorphous),Polymeric,–,PVA–Iron Alum (uncrosslinked),1e-6 / 30,1e-06,–,,
H+,H+,Polymer electrolyte (cross-linked),Polymeric,Glycerol,PVA–Iron Alum + Glycerol,1e-5 / 30; 1.2e-3 / 100,1e-05,–,,
H+,H+,Polymer electrolyte (cross-linked),Polymeric,Succinic acid,PVA–Iron Alum + Succinic Acid,3e-5 / 30; 1.8e-3 / 100,3e-05,–,,
H+,H+,Polymer electrolyte (cross-linked),Polymeric,Glyoxal,PVA–Iron Alum + Glyoxal,5e-5 / 30; 2.38e-3 / 100,5e-05,–,,
Li+,Li+,Polymer (PVDF),Polymeric,–,PVDF (control),7.6e-5 / -5,7.6e-05,–,,
Li+,Li+,Polymer (PVDF),Polymeric,Molecular doping with PVDC (low) + SN + LiTFSI,md-PVDF-LD (10 wt% PVDC:90 wt% PVDF),~order higher than PVDF / 30,30.0,–,,
Li+,Li+,Polymer (PVDF),Polymeric,Molecular doping with PVDC (moderate) + SN + LiTFSI,md-PVDF (2:8 PVDC:PVDF),1.4e-3 / 25; 3.0e-4 / -5; 4.1e-3 / 80,0.0014,0.25,0.25,
Li+,Li+,Polymer (PVDF),Polymeric,Molecular doping with PVDC (high) + SN + LiTFSI,md-PVDF-HD (3:7 PVDC:PVDF),2.0e-3 / 30,0.002,–,,
Na+,Na+,Natural polymer (lignin-based),Polymeric,–,LG-SPE (lignin-based polymer + Na salt),3.4e-4 / 25,0.00034,–,,
Na+,Na+,Gel polymer electrolyte (quasi-solid),Polymeric,SN plasticizer + EMIMBF4 + NaBF4 salt,P(VdF-HFP) + SN + EMIMBF4 + NaBF4,8.72e-3 / 30,0.00872,–,,
Na+,Na+,Polymer (PEO),Polymeric,–,PEO (SPE),5.5e-6 / 25,5.5e-06,–,,
Na+,Na+,Ceramic (NaSICON),NASICON,–,Na3Zr2Si2.3P0.7O11.85 (NaSICON),1.7e-3 / 25,0.0017,–,,
Na+,Na+,Ceramic (NaSICON),NASICON,–,Na3.4Zr2Si2.4P0.6O12 (NaSICON),3.4e-3 / 25,0.0034,–,,
Na+,Na+,Composite polymer–ceramic (CSE),Polymeric,–,PEO (50 wt%) / Na3Zr2Si2.3P0.7O11.85 (50 wt%),1.13e-5 / 25,1.13e-05,–,,
Na+,Na+,Composite polymer–ceramic (CSE),Polymeric,–,PEO (50 wt%) / Na3.4Zr2Si2.4P0.6O12 (50 wt%),6.4e-6 / 25,6.4e-06,–,,
Li+,Li+,Polymer electrolyte (PEO-based),Polymeric,–,"Polymer electrolyte (control, no filler)",1e-6 – 1e-5 / RT,1e-06,–,,
Li+,Li+,Polymer–ceramic composite,Polymeric,LMTO nanorods (passive filler),Polymer + LMTO nanorods (composite),1e-5 – 1e-4 / RT,1e-05,–,,
Li+,Li+,Ceramic oxide (LMTO),Other,–,LMTO ceramic (filler alone),negligible / RT,,–,,
H+,H+,Supramolecular polymer electrolyte,Polymeric,Deep eutectic solvent (DES) based on glycosyl-zwitterion with POM nanoclusters,"SPPC (Supramolecular Polymer Proton Conductor, DES-GZ/POM)",1.07 / 25,1.07,0.12,0.12,
Li+,Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),2.04e-3 / 25,0.00204,0.35,0.35,
Li+,Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),2.04e-3 / 25,0.00204,0.35,0.35,
Li+,Li+,Halide (hcp-T),Halide,–,Li3HoCl6,4.2e-4 / 25,0.00042,0.39,0.39,
Li+,Li+,Halide (hcp-T),Halide,In3+ partial substitution,Li3Ho0.6In0.4Cl6,1.3e-3 / 25,0.0013,0.28,0.28,
Li+,Li+,Halide (hcp-T),Halide,–,Li3YCl6,– (~1 mS/cm from lit.),0.001,–,0.33,
Li+,Li+,Halide (hcp-O),Halide,–,Li3YBr6,2.4e-3 / 25,0.0024,0.31,0.31,
Li+,Li+,Halide (hcp-O/hcp-T mixed),Halide,Br- partial substitution,Li3YCl6-xBrx (x=1.5),3.1e-3 / 25,0.0031,0.29,0.29,
Li+,Li+,"Halide, UCl3-type (non-close-packed)",Halide,–,Li-UCl3 (LiCl–LaCl3–0.5TaCl5),2.39e-3 / 25,0.00239,0.15,0.15,
Na+,Na+,"Halide, UCl3-type (non-close-packed)",Halide,–,Na-UCl3 (NaCl–LaCl3–0.5TaCl5),3.63e-3 / 25,0.00363,0.17,0.17,
K+,K+,"Halide, UCl3-type (non-close-packed)",Halide,–,K-UCl3 (KCl–LaCl3–0.5TaCl5),1.20e-4 / 25,0.00012,0.41,0.41,
Ag+,Ag+,"Halide, UCl3-type (non-close-packed)",Halide,–,Ag-UCl3 (AgCl–LaCl3–0.5TaCl5),4.20e-3 / 25,0.0042,0.11,0.11,
Li+,Li+,"Halide, non-close-packed",Halide,–,LiGaCl3 (predicted),3.39e-3 / 25 (AIMD),0.00339,0.25 (AIMD),0.25,
Li+,Li+,"Halide, trigonal (P3̅m1)",Halide,–,Li3YCl6,– (~1 mS/cm from lit.),0.001,–,0.33,
Li+,Li+,"Halide, trigonal (cation-disordered)",Halide,Partial substitution of Y3+ with Zr4+,Li3Y0.2Zr0.6Cl6,1.19e-3 / 25,0.00119,0.29,0.29,
Li+,Li+,"Halide, trigonal",Halide,–,Li3ErCl6,3.5e-4 / 25,0.00035,0.36,0.36,
Li+,Li+,Halide (hcp),Halide,–,Li3YCl6 (mechanochemical),1.8e-3 / 25,0.0018,0.33,0.33,
Li+,Li+,Halide (hcp),Halide,–,Li3YCl6 (solid-state synthesis),6.5e-4 / 25,0.00065,0.40,0.4,
Li+,Li+,Halide (hcp),Halide,Partial substitution Y3+→Zr4+,Li3Y0.2Zr0.6Cl6,1.19e-3 / 25,0.00119,0.29,0.29,
Li+,Li+,Halide (hcp),Halide,–,Li3InCl6,2.0e-3 / 25,0.002,0.35,0.35,
Li+,Li+,Halide (hcp),Halide,–,Li3ScCl6,1.06 / 25,1.06,0.29,0.29,
Na+,Na+,"Halide, heterogeneous (UCl3-type + amorphous domains)",Halide,Interface engineering / dual-phase composite,HSE-Na (Halide Heterogeneous Structure Electrolyte – Na+),2.7e-3 / 25,0.0027,0.23,0.23,
Li+,Li+,"Halide, trigonal",Halide,–,Li3YbCl6,3.8e-4 / 25,0.00038,0.36,0.36,
Li+,Li+,"Halide, trigonal (partially disordered)",Halide,Partial substitution Yb3+→Zr4+,Li2.8Yb0.8Zr0.2Cl6,9.5e-4 / 25,0.00095,0.29,0.29,
Li+,Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Zr4+ substitution,Li2.5Yb0.5Zr0.5Cl6,1.5e-3 / 25,0.0015,0.24,0.24,
Li+,Li+,"Halide, trigonal",Halide,Partial substitution Yb3+→Hf4+,Li2.8Yb0.8Hf0.2Cl6,8.7e-4 / 25,0.00087,0.30,0.3,
Li+,Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Hf4+ substitution,Li2.5Yb0.5Hf0.5Cl6,1.4e-3 / 25,0.0014,0.25,0.25,
Li+,Li+,Halide (defect-rich),Halide,Anion engineering: F- + O2- co-substitution in Li3ZrCl6,Li2.5ZrCl5F0.5O0.5 (LZCFO),1.17e-3 / 30,0.00117,0.28,0.28,
Li+,Li+,Halide (hcp),Halide,–,Li3ZrCl6 (reference),0.62e-3 / 30,0.00062,0.34,0.34,
Li+,Li+,Halide (hcp),Halide,Fully ordered cation framework,Li2ZrCl6 (ordered),2.0e-4 / 25 (from MD curve),0.0002,0.37 (from Arrhenius fit),0.37,
Li+,Li+,Halide (hcp),Halide,Partially disordered Zr sublattice,Li2ZrCl6 (disordered Zr),1.1e-3 / 25 (from MD curve),0.0011,0.23 (from Arrhenius fit),0.23,
Li+,Li+,"Halide (orthorhombic, stacking faulted)",Halide,–,Li3HoBr6 (x=0),3.2e-4 / 25,0.00032,0.34,0.34,
Li+,Li+,"Halide (orthorhombic, more stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr5I (x=1),6.8e-4 / 25,0.00068,0.28,0.28,
Li+,Li+,"Halide (orthorhombic, high stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr4I2 (x=2),1.2e-3 / 25,0.0012,0.23,0.23,
Li+,Li+,"Halide (orthorhombic, maximum stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr3I3 (x=3),1.7e-3 / 25,0.0017,0.20,0.2,
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5Cl,~1.0e-3 / 25,0.001,0.38,0.38,
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5Br,1.40e-3 / 25,0.0014,–,0.417,
Li⁺,Li+,Argyrodite (cubic),Argyrodite,–,Li6PS5I,9.6e-4 / 25,0.00096,–,0.419,
Li⁺,Li+,Argyrodite composite,Argyrodite,Excess LiCl doping,Li6PS5Cl·LiCl,5.3e-4 / RT,0.00053,0.29,0.29,
Li⁺,Li+,"Halide (hexagonal close packed Cl⁻, P3̅m1)",Halide,High concentration of stacking faults and Li defect layers (mechanochemical synthesis),Li₃YCl₆ (BM-LYC),0.49 mS·cm⁻¹ / 25 °C,0.49,0.41 ± 0.006,0.41,25.0
Li⁺,Li+,"Halide (hexagonal close packed Cl⁻, P3̅m1)",Halide,Lower stacking fault concentration; multiphasic sample,Li₃YCl₆ (SS-LYC),0.067 mS·cm⁻¹ / 25 °C,0.067,0.47 ± 0.004,0.47,25.0
Li⁺,Li+,"Halide (hcp, P3m1)",Halide,–,Li₂ZrCl₆ (LZC),4.13 mS·cm⁻¹ / 25 °C,4.13,0.424,0.424,25.0
Li⁺,Li+,"Halide (hcp, P3m1) with lattice extension",Halide,I⁻ substitution for Cl⁻ expands lattice and enhances disorder,"Li₂ZrCl₅I (LZCI, x=1)",13.6 mS·cm⁻¹ / 25 °C,13.6,0.32,0.32,25.0
Li⁺,Li+,"Halide (layered, P2₁/c for hydrate)",Halide,– (fully hydrated),Li₃InCl₆ hydrate (Li₃InCl₆·2H₂O),3.5×10⁻⁷ S·cm⁻¹ / 25 °C,3.5,≈3 (hydrate region),,25.0
Li⁺,Li+,Halide (layered),Halide,"Partial dehydration phase, grain boundary formation",Li₃InCl₆ sub-hydrate (Li₃InCl₆·0.5H₂O),Conductivity increases drastically during dehydration; activation energy drops to ~2 eV in sub-hydrate region,2.0,–,,
Li⁺,Li+,Halide (C2/m for anhydrous),Halide,–,Li₃InCl₆ (anhydrous),1.1×10⁻³ S·cm⁻¹ / 25 °C,1.1,≈0.3 after cool-down,0.3,25.0
Li⁺,Li+,"Halide (hcp, P3̅m1)",Halide,–,Li₂ZrCl₆ (LZC),4.13 mS·cm⁻¹ / 25 °C,4.13,0.424,0.424,30.0
Li⁺,Li+,Halide nanocomposite (hcp Li₂ZrCl₆ + nano ZrO₂),Halide,Interfacial superionic conduction via O-substituted interphase,ZrO₂–2Li₂ZrCl₆ (HNSE),1.1 mS·cm⁻¹ / 30 °C,1.1,0.31,0.31,30.0
Li⁺,Li+,Halide nanocomposite,Halide,External ZrO₂ nanoparticles (~20 nm) mixed with Li₂ZrCl₆,nZrO₂–2Li₂ZrCl₆ (control),0.6 mS·cm⁻¹ / 30 °C,0.6,–,,30.0
Na⁺,Na+,Halide nanocomposite,Halide,Interfacial conduction,0.13ZrO₂–0.61NaCl–0.26Na₂ZrCl₆,0.11 mS·cm⁻¹ / 30 °C,0.11,–,,30.0
Li⁺,Li+,Halide nanocomposite (fluorinated),Halide,F-substitution plus interfacial conduction,ZrO₂–2Li₂ZrCl₅F (HNSE-F),0.49 mS·cm⁻¹ / 30 °C,0.49,–,,30.0
Li⁺,Li+,Halide nanocomposite,Halide,SnO₂ nanograins,SnO₂–2Li₂ZrCl₆ (HNSE),1.6 mS·cm⁻¹ / 30 °C,1.6,–,,30.0
Li⁺,Li+,Halide nanocomposite,Halide,Al₂O₃ nanograins,Al₂O₃–3Li₂ZrCl₆ (HNSE),0.88 mS·cm⁻¹ / 30 °C,0.88,–,,30.0
Li⁺,Li+,Halide nanocomposite,Halide,Fe³⁺ substitution in Li₂ZrCl₆ plus ZrO₂ interfacial conduction,0.75ZrO₂–Li₂.₂₅Zr₀.₇₅Fe₀.₂₅Cl₆ (HNSE-Fe),1.4 mS·cm⁻¹ / 30 °C,1.4,–,,30.0
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₃ErCl₆ (x=0),8.7×10⁻⁵ / 25 °C,8.7,–,,25.0
Li⁺,Li+,Halide (phase I),Halide,Zr⁴⁺ substitution,Li₂.9Er₀.9Zr₀.1Cl₆ (x=0.1),3.6×10⁻⁴ / 25 °C,3.6,–,,25.0
Li⁺,Li+,Halide (phase II Li3LuCl6-type),Halide,Zr⁴⁺ substitution,Li₂.8Er₀.8Zr₀.2Cl₆ (x=0.2),7.7×10⁻⁴ / 25 °C,7.7,–,,25.0
Li⁺,Li+,"Halide (phase III, new)",Halide,Zr⁴⁺ substitution (max conductivity),Li₂.633Er₀.633Zr₀.367Cl₆ (x=0.367),1.1×10⁻³ / 25 °C,1.1,–,,25.0
Li⁺,Li+,"Halide (phase III, Y system)",Halide,Zr⁴⁺ substitution,Li₂.5Y₀.5Zr₀.5Cl₆ (x=0.5),1.4×10⁻³ / 25 °C,1.4,0.33,0.33,25.0
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,–,Li₆PS₅Cl (x=0),2.5 mS·cm⁻¹ / 25 °C,2.5,0.34 (EIS); 0.35 (PFG),0.34,25.0
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich solid solution,Li₅.₇₅PS₄.₇₅Cl₁.₂₅ (x=0.25),4.2 mS·cm⁻¹ / 25 °C,4.2,0.33 (EIS); 0.343 (PFG),0.33,25.0
Li⁺,Li+,Argyrodite,Argyrodite,Halide-rich,Li₅.₆₂₅PS₄.₆₂₅Cl₁.₃₇₅ (x=0.375),5.6 mS·cm⁻¹ / 25 °C,5.6,0.31 (EIS); 0.320 (PFG),0.31,25.0
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,End-member halide-rich,Li₅.₅PS₄.₅Cl₁.₅ (x=0.5),"9.4 mS·cm⁻¹ / 25 °C (cold-pressed); 12.0 mS·cm⁻¹ / 25 °C (sintered 550 °C, 10 min)",9.4,0.29 (EIS/PFG),0.29,25.0
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich,Li₅.₄₅PS₄.₄₅Cl₁.₅₅,5.9 mS·cm⁻¹ / 25 °C,5.9,,,25.0
Li⁺,Li+,Argyrodite (F-43m),Argyrodite,Halide-rich,Li₅.₄PS₄.₄Cl₁.₆,3.3 mS·cm⁻¹ / 25 °C,3.3,,,25.0
Li⁺,Li+,Sulfide glass-ceramic (triclinic P1),Amorphous,–,Li₇P₃S₁₁ (pristine),0.43 mS·cm⁻¹ / 25 °C,0.43,–,,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,0.5 M AgI doping/mixing,Li₇Ag₀.₂₅P₃S₁₁I₀.₂₅ (270 °C),0.48 mS·cm⁻¹ / 25 °C,0.48,–,,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,0.2 M AgI doping/mixing (optimum),Li₇Ag₀.₁P₃S₁₁I₀.₁ (270 °C),1.35 mS·cm⁻¹ / 25 °C; 7.9 mS·cm⁻¹ at 100 °C,1.35,0.23,0.23,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,0.1 M AgI doping/mixing,Li₇Ag₀.₀₅P₃S₁₁I₀.₀₅ (270 °C),0.83 mS·cm⁻¹ / 25 °C,0.83,–,,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,AgCl-doped,Li₇Ag₀.₁P₃S₁₁Cl₀.₁ (270 °C),"(value not explicitly given, but at 270 °C highest among Cl-doped)",270.0,–,,270.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,AgBr-doped,Li₇Ag₀.₁P₃S₁₁Br₀.₁ (270 °C),"(value not explicitly given, but at 270 °C improved vs pristine)",270.0,–,,270.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,MnCl₂-doped,Li₇Mn₀.₁P₃S₁₁Cl₀.₂,4.2×10⁻⁴ S·cm⁻¹ / 25 °C,4.2,–,,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,CuCl₂-doped,Li₇Cu₀.₁P₃S₁₁Cl₀.₂,1.3×10⁻⁴ S·cm⁻¹ / 25 °C,1.3,–,,25.0
Li⁺,Li+,Sulfide glass-ceramic,Amorphous,SnCl₂-doped,Li₇Sn₀.₁P₃S₁₁Cl₀.₂,1.5×10⁻⁵ S·cm⁻¹ / 25 °C,1.5,–,,25.0
Li⁺,Li+,Halide (hcp),Halide,–,Li₂ZrCl₆,5×10⁻⁴ S·cm⁻¹ / 25 °C,5.0,0.30,0.3,25.0
Na⁺,Na+,Halide (hcp),Halide,–,Na₂ZrCl₆,9×10⁻⁶ S·cm⁻¹ / 25 °C,9.0,0.40,0.4,25.0
Cu⁺,Cu+,Halide (hcp),Halide,–,Cu₂ZrCl₆,1×10⁻² S·cm⁻¹ / 25 °C,1.0,0.19,0.19,25.0
Ag⁺,Ag+,Halide (hcp),Halide,–,Ag₂ZrCl₆,4×10⁻³ S·cm⁻¹ / 25 °C,4.0,0.24,0.24,25.0
Li⁺,Li+,Halide (trigonal P3̅m1),Halide,–,Li₂ZrCl₆,5×10⁻⁴ S·cm⁻¹ / 25 °C,5.0,0.30,0.3,25.0
Li⁺,Li+,Halide (trigonal),Halide,0.1 S²⁻ substitution for Cl⁻,Li₂.₁ZrCl₅.₉S₀.₁,7.35×10⁻⁴ / 25 °C,7.35,0.36,0.36,25.0
Li⁺,Li+,Halide (trigonal),Halide,0.2 S²⁻ substitution for Cl⁻,Li₂.₂ZrCl₅.₈S₀.₂,8.55×10⁻⁴ / 25 °C,8.55,0.34,0.34,25.0
