"Formula (Chemical)","Battery Type","Anode","Cathode","Ion Type","Structure Type","Doping / and or GB Strategy","Conductivity σ (S·cm⁻¹) / Temp (°C)","Conductivity σ (S·cm⁻¹) / Temp (°C) normalized","Activation Energy Ea (eV)","Retention %","Retention % normalized","Cycle Life (N cycles or hours)","Cycle Life normalized (cycles)","Synthesis Method (3–5 lines)","Reference (with DOI)","_row_id","Structure Group_x","Structure Group_y"
"PSE1 (PTU1 + LiClO₄)","All-solid-state full cell","Li metal","LiFePO₄ (LFP)","Li⁺","Polymer electrolyte","LiClO₄-doped PTU1","1.23e-4 / 60","0.000123","0.28","~100 % after 100 cycles @ 60 °C","100.0","up to 100 cycles @ 60 °C","100.0","Membrane PSE1 between Li and LFP; coin cell assembled; tested at 60 °C","[257]","121","Polymeric","Polymeric"
"PSE2 (PTU2 + LiClO₄)","All-solid-state full cell","Li metal","LiFePO₄ (LFP)","Li⁺","Polymer electrolyte","LiClO₄-doped PTU2","1.45e-4 / 60","0.000145","0.27","~100 % after 100 cycles @ 60 °C","100.0","up to 100 cycles @ 60 °C","100.0","Membrane PSE2 between Li and LFP; coin cell assembled; tested at 60 °C","[257]","122","Polymeric","Polymeric"
"PSE3 (PTU3 + LiClO₄)","All-solid-state full cell","Li metal","LiFePO₄ (LFP)","Li⁺","Polymer electrolyte","LiClO₄-doped PTU3","1.62e-4 / 60","0.000162","0.25","~100 % after 100 cycles @ 60 °C","100.0","up to 100 cycles @ 60 °C","100.0","Membrane PSE3 between Li and LFP; coin cell assembled; tested at 60 °C","[257]","123","Polymeric","Polymeric"
"CSE (PEO-LiTFSI + Li-HA-F)","Symmetric cell","Li metal","Li metal","Li⁺","Polymer composite","PEO-LiTFSI matrix reinforced with Li-HA-F","4.0e-4 / 30 (exp.)","0.0004","0.23","–","","Stable Li|Li plating/stripping >2000 h @0.2 mA cm⁻², 30 °C","666.667","Membrane sandwiched between Li electrodes; test in coin cell","[258]","124","Polymeric","Polymeric"
"CSE (PEO-LiTFSI + Li-HA-F)","All-solid-state full cell","Li metal","LiFePO₄ (LFP)","Li⁺","Polymer composite","same as above","4.0e-4 / 30 (exp.)","0.0004","0.23",">90%","90.0","~100 cycles @0.5 C, 30 °C (capacity retention >90%)","100.0","Assemble Li|CSE|LFP coin cell; test at 30 °C","[258]","125","Polymeric","Polymeric"
"CSE (PEO-LiTFSI + Li-HA-F)","All-solid-state full cell","Li metal","NCM811","Li⁺","Polymer composite","same as above","4.0e-4 / 30 (exp.)","0.0004","0.23",">85%","85.0","~80 cycles @0.3 C, 30 °C (capacity retention >85%)","80.0","Assemble Li|CSE|NCM811 coin cell; test at 30 °C","[258]","126","Polymeric","Polymeric"
"TDCT","Symmetric cell","Li metal","Li metal","Li⁺","Polymer composite with superionic filler","PVDF-LiTFSI matrix reinforced with Li-NC","2.5e-4 / 30 (exp.)","0.00025","0.146","–","","Stable Li|Li plating/stripping ~4000 h @0.2 mA cm⁻², 30 °C","1333.33","Membrane sandwiched between Li electrodes; test in coin cell","[259]","127","Polymeric","Polymeric"
"TDCT","All-solid-state full cell","Li metal","LiFePO₄ (LFP)","Li⁺","Polymer composite with superionic filler","same as above","2.5e-4 / 30 (exp.)","0.00025","0.146",">80%","80.0","~760 cycles @0.5 C, 30 °C (capacity retention >80%)","760.0","Assemble Li|IE-LFP|TDCT coin cell; test at 30 °C","[259]","128","Polymeric","Polymeric"
"TDCT","All-solid-state full cell","Li metal","NCM523","Li⁺","Polymer composite with superionic filler","same as above","2.5e-4 / 30 (exp.)","0.00025","0.146","–","",">500 cycles @0.3 C, 30 °C","500.0","Same process with NCM523 cathode","[259]","129","Polymeric","Polymeric"
"TDCT","All-solid-state full cell","Li metal","LNCMO","Li⁺","Polymer composite with superionic filler","same as above","2.5e-4 / 30 (exp.)","0.00025","0.146","–","",">300 cycles @0.3 C, 30 °C","300.0","Same process with LNCMO cathode","[259]","130","Polymeric","Polymeric"
"TDCT","Pouch cell demo","Li metal","LFP","Li⁺","Polymer composite with superionic filler","same as above","2.5e-4 / 30 (exp.)","0.00025","0.146","–","","LED lighting under bending","","TDCT membrane used as electrolyte in flexible pouch cell; LED lighting demo","[259]","131","Polymeric","Polymeric"
"c-Na₃PS₄","All-solid-state Na-ion battery","Na–Sn alloy","TiS₂","Na⁺","Thiophosphate (cubic)","–","2.2e-4 / 25 (exp.)","0.00022","0.39","0.82","82.0","Capacity ~198 mAh g⁻¹ @0.06C; retention 82% after 100 cycles @30 °C","198.0","Pellet of c-Na₃PS₄ as separator/electrolyte in Na–Sn/TiS₂ cell","[260]","132","Others","Others"
"Na₂.₇₃₀Ca₀.₁₃₅PS₄","All-solid-state Na-ion battery","Na–Sn alloy","TiS₂","Na⁺","Thiophosphate (cubic)","Ca²⁺ substitution on Na-site","9.4e-4 / 25 (exp.)","0.00094","0.36","0.91","91.0","Capacity ~198 mAh g⁻¹ @0.06C; retention 91% after 100 cycles @30 °C","198.0","Pellet of Ca-doped c-Na₃PS₄ as separator/electrolyte in Na–Sn/TiS₂ cell","[260]","133","Others","Others"
"Na₃SbS₃Se","All-solid-state Na-ion battery","Na metal","FeS₂","Na⁺","Thiophosphate-type chalcogenide","Partial S→Se substitution","3.75e-4 / 25 (exp.)","0.000375","0.21","–","","Capacity 105 mAh g⁻¹ after 600 cycles @0.5 C, 25 °C","105.0","Pressed pellet of Na₃SbS₃Se as SE between Na and FeS₂ electrodes","[261]","134","Others","Others"
"Na₃SbS₂Se₂","All-solid-state Na-ion battery","Na metal","FeS₂","Na⁺","Thiophosphate-type chalcogenide","Higher Se substitution","2.80e-4 / 25 (exp.)","0.00028","0.19","–","","Capacity 92 mAh g⁻¹ after 300 cycles @0.5 C, 25 °C","92.0","Same process with Na₃SbS₂Se₂ SE","[261]","135","Others","Others"
"Li₃InCl₆","All-solid-state Li-ion battery","Li metal","LiNi₀.₈Co₀.₁Mn₀.₁O₂ (NCM811) composite with different binders (PMMA, EC, SBR, NBR)","Li⁺","Halide (Li₃InCl₆)","–","9.8e-4 / 25 (exp.)","0.00098","–","–","","Cells assembled with Li₃InCl₆ SE and NCM811 composite cathodes; up to ~100 cycles at room temperature with binder-dependent performance","3.0","Slurry-coated NCM811 composite cathode with binder; pressed with Li₃InCl₆ separator; Li metal anode","[263]","136","Halide","Halide"
"Li₇P₂S₈I","Symmetric cell","Li metal","Li metal","Li⁺","New iodide-based sulfide (Pnma)","Incorporation of LiI into Li₃PS₄ lattice","5.8e-4 / 25 (DC polarization, similar to 6.3e-4 AC)","0.00058","–","–","",">800 cycles with overlapping polarization curves at 0.2 mA cm⁻², ambient temperature","800.0","Pressed dense Li₇P₂S₈I membrane between Li electrodes; test at ambient conditions","[264]","137","Halide","Halide"
"0.1NaI·0.9Na₃SbS₄","All-solid-state Na-ion battery","Na₃Sn alloy (counter electrode)","FeS₂","Na⁺","Glass-ceramic sulfide","I⁻ incorporation (NaI)","0.74e-3 / 30","0.00074","~0.2–0.3","–","","258 mAh g⁻¹ reversible capacity at 30 °C (20 wt% SE coating); stable cycling shown at 50–150 mA cm⁻²","258.0","MeOH-solution coating of FeS₂ with 0.1NaI·0.9Na₃SbS₄; annealed 200 °C; cell pressed with Na₃PS₄ separator and Na₃Sn alloy anode","[265]","138","Amorphous","Amorphous"
"0.7Li(CB₉H₁₀)–0.3Li(CB₁₁H₁₂)","All-solid-state Li–S battery","Li metal","S–C composite","Li⁺","Complex hydride lithium superionic conductor","–","6.7e-3 / 25 (exp.)","0.0067","0.29","–","",">1500 mAh g⁻¹ initial capacity; high-rate capability and stable cycling (energy density >2500 Wh kg⁻¹) at room temperature","1500.0","Membrane of hydride SE sandwiched between Li anode and S–C cathode; cell assembled under Ar","[267]","139","Others","Others"
"Na₃PS₄ glass-ceramic (cubic)","All-solid-state Na-ion battery","Na–Sn alloy (counter/reference)","TiS₂","Na⁺","Sulfide glass-ceramic (cubic Na₃PS₄)","–","2.0e-4 / 25 (exp.)","0.0002","0.27","–","","~90 mAh g⁻¹ capacity of TiS₂; stable for 10 cycles at 25 °C, 0.013 mA cm⁻²; cell voltage ≈1.6 V","90.0","Three-layered pellet Na–Sn/Na₃PS₄/TiS₂ pressed at 360 MPa; assembled in Ar glovebox","[268]","140","Amorphous","Amorphous"
"3LiCl–GaF₃ (as catholyte)","All-solid-state Li-ion battery","Li metal","NCM111 (with LLZTO separator)","Li⁺","Pliable halide–fluoride glass electrolyte","–","3.6e-3 / 25 (exp.)","0.0036","0.25","0.45","45.0","Initial areal capacity 2.84 mAh cm⁻²; retention 45% after 100 cycles at RT; improved to >70% with Li₂CO₃-B coating","2.84","LLZTO pellet separator; 3LiCl–GaF₃ as catholyte layer on NCM111; Li metal anode","[269]","141","Halide","Amorphous"
